rank,action_id,action_date,dismiss_reason,dismissal_note,asin,amazon_title,amazon_system,ebay_item_id,ebay_title,ebay_condition,ebay_category,ebay_category_ids,seller_username,detected_ebay_platform,game_name,region_code,format,type,features,release_year,stored_recommendation,current_recommendation,current_hard_blocks,current_warnings,pattern,rule_miss_class,evidence_dependency,opportunity_id,candidate_id,snapshot_id
39,1e3b4f0f-5ba0-4efd-9911-04bc4daaa756,2026-07-31T03:13:54.956313+00:00,wrong_edition_version,,B002912SZI,Bakugan - Xbox 360,,v1|137365779147|0,Activision Bakugan: Defenders of the Core Xbox 360 Action E10+ NTSC-U/C Manual,Brand New,Video Games; Video Games & Consoles,139973; 1249,ramzelle,Xbox 360,Bakugan: Defenders of the Core,NTSC-U/C (US/Canada); United States,,,Manual Included,,Probable Match,Probable Match,,,item-specific Game Name or Edition conflict,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,6238c3ee-3525-4c00-a495-99d632322cae,6ef6181a-bc19-4cee-a3b4-03cf5c376787,28523e32-1d4f-4378-9835-3fe066555cff
40,41cf35a3-28af-4b65-966b-86d61a9e5e58,2026-07-31T03:12:08.325513+00:00,wrong_edition_version,,B000HWX418,The Darkness - Playstation 3,,v1|267281873478|0,"The Darkness 2 II (Sony PlayStation 3, 2012) PS3 Brand New Sealed ",Brand New,Video Games; Video Games & Consoles,139973; 1249,jrocstuff,PS 3,The Darkness II,,,,,2012,Probable Match,Blocked,non-US item location,,item-specific Game Name or Edition conflict,current rule should already block,title_plus_item_specifics_or_category,9d7b90fc-0b05-47c9-a228-22458a22fff3,71b8431d-22a2-49aa-90cc-9bd52a1a380f,a8ad0be6-f3c7-4ba8-b988-e4867ebe5931
41,767b24bb-81a6-49f5-9ce8-f8ed55657dfb,2026-07-31T03:11:36.587659+00:00,suspected_reseal,,B002I0IUM0,LEGO Star Wars III: The Clone Wars,,v1|304995041829|0,"SEALED LEGO Star Wars III: The Clone Wars (Nintendo 3DS, 2011) BRAND NEW",Brand New,Video Games; Video Games & Consoles,139973; 1249,709_games,3DS,LEGO Star Wars III: The Clone Wars,NTSC-U/C (US/Canada),,,,,Probable Match,Blocked,non-US item location,,suspected_reseal,current rule should already block,image_or_operator_visual_review,47a2ab84-57ef-4fec-bbcb-6d00e4ccf82d,81261a60-bb28-4735-b447-789232463350,3733900d-f886-4cfa-bec1-58606c49bd6d
42,4ba9d977-4f72-49a0-86df-83fbba808dcd,2026-07-31T03:11:18.95092+00:00,wrong_platform,,B002I0IUM0,LEGO Star Wars III: The Clone Wars,,v1|226101924404|0,LEGO Star Wars III The Clone Wars (Nintendo 3DS) 3DS (Brand New &Factory Sealed),Brand New,Video Games; Video Games & Consoles,139973; 1249,threeacess3,3DS,LEGO Star Wars III: The Clone Wars,,,,Challenging new missions inspired by the sci-fi high adventure of the animated series Access never-before playable weapons and vehicles; unlock classic Star Wars characters Use new light saber abilities to cut and climb your w,,Probable Match,Probable Match,,,wrong_platform,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,f72b37d4-6399-4ad1-b0f0-89383a73affa,5824425b-7f16-4562-acb9-968fab0956c5,b8ae4c9c-c1dc-4c8e-aad7-29c85ea26897
43,b4047647-79ad-435e-9f1c-26605f78652b,2026-07-31T03:11:18.514995+00:00,wrong_platform,,B002I0IUM0,LEGO Star Wars III: The Clone Wars,,v1|205880041851|0,"LEGO Star Wars III: The Clone Wars (Nintendo 3DS, 2011) NEW & SEALED",Brand New,Video Games; Video Games & Consoles,139973; 1249,lastingtraditionsignatures,3DS,LEGO Star Wars III: The Clone Wars,NTSC-U/C (US/Canada); Japan,,,Challenging new missions inspired by the sci-fi high adventure of the animated series Access never-before playable weapons and vehicles; unlock classic Star Wars characters Use new light saber abilities to cut and climb your w,2011,Probable Match,Probable Match,,,wrong_platform,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,3c6cc373-e2c9-4832-b031-d92284209903,fbbc8fb3-0c44-4ea8-a3d8-ffef634258d5,6959643a-6c42-4380-bdfc-fc47fee079fd
44,deca7e38-2570-4cbe-ab30-dab657df45c8,2026-07-31T03:11:02.987144+00:00,missing_shrink_wrap,,B002I0IUM0,LEGO Star Wars III: The Clone Wars,,v1|404049491418|0,"LEGO Star Wars III: The Clone Wars (Nintendo 3DS, 2011) * Tested Works *",Brand New,Video Games; Video Games & Consoles,139973; 1249,erkre_9235,3DS,LEGO Star Wars III: The Clone Wars,,,,Challenging new missions inspired by the sci-fi high adventure of the animated series Access never-before playable weapons and vehicles; unlock classic Star Wars characters Use new light saber abilities to cut and climb your w,,Probable Match,Probable Match,,,missing_shrink_wrap,evidence exists only in images,title_only,e8321c9f-c479-4bff-868d-a5ee88f78e98,973188e1-41d4-49e0-8fa4-548e83b756ec,40778fd0-37f7-45a8-b6d9-ae8b90a9f37e
45,db0555bb-7251-47df-adb8-8621c2781de8,2026-07-31T03:09:30.862038+00:00,wrong_edition_version,,B002I0J998,Mortal Kombat - Xbox 360,,v1|116267139122|0,"Mortal Kombat vs. DC Universe (Xbox 360, 2008)",Brand New,Video Games; Video Games & Consoles,139973; 1249,dcpumas,Xbox 360,Mortal Kombat vs. DC Universe,,,,,2008,Probable Match,Probable Match,,,item-specific Game Name or Edition conflict,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,21011b44-e034-423b-be2c-d2edb5bbb285,8aa76f3a-d581-4f5c-90af-4af3d78affa0,f371ae05-76d6-4489-b890-82536770f6bb
46,7f0d4e61-e4e1-42bc-80a9-e1f06ffaf834,2026-07-31T03:09:30.534916+00:00,wrong_edition_version,,B002I0J998,Mortal Kombat - Xbox 360,,v1|358707768482|0,"Mortal Kombat vs. DC Universe Xbox 360, 2008 New Sealed Excellent",Brand New,Video Games; Video Games & Consoles,139973; 1249,jpscollectibles,Xbox 360,Mortal Kombat vs. DC Universe,NTSC-U/C (US/Canada),,,Manual Included,2008,Probable Match,Probable Match,,,item-specific Game Name or Edition conflict,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,6525d267-362b-4aae-9952-a2abfdf1ace4,db38c27c-37bd-48e1-9163-339622467fe4,25befbbf-1215-4c8a-9352-d48e01dd2b73
47,de4b3a8f-6b5f-4656-857a-5e5f3f93671d,2026-07-31T03:09:30.148037+00:00,wrong_edition_version,,B002I0J998,Mortal Kombat - Xbox 360,,v1|188363955888|0,"Mortal Kombat vs. DC Universe (Xbox 360, 2008) Brand New Factory Sealed",Brand New,Video Games; Video Games & Consoles,139973; 1249,cmb1103,Xbox 360,Mortal Kombat vs. DC Universe,NTSC-U/C (US/Canada),,,,,Probable Match,Probable Match,,,item-specific Game Name or Edition conflict,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,618c7ad4-b4f9-4519-b3c4-70b737e469dd,549c7580-a776-4bbf-9948-bc7215621ce0,973f83b4-de55-4f92-8291-8fecf4ec0bfb
48,e6f32f4c-f3b0-492f-b83a-4fb0f2a2856e,2026-07-31T03:09:29.797716+00:00,wrong_edition_version,,B002I0J998,Mortal Kombat - Xbox 360,,v1|355893327026|0,"Mortal Kombat vs. DC Universe (Xbox 360, 2008)",Brand New,Video Games; Video Games & Consoles,139973; 1249,joey_fieldmen,Xbox 360,Mortal Kombat vs. DC Universe,,,,,2008,Probable Match,Probable Match,,,item-specific Game Name or Edition conflict,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,314c616c-27ca-4c1d-b5f1-1e25ba2e523d,09f736ad-136f-4064-a3c9-80b9b0903423,fc584ca1-07a6-4eed-b9b8-fd3fa4c37fd6
49,a2b524d9-348e-4eff-a0f2-30ee0f187ef3,2026-07-31T03:09:29.484381+00:00,wrong_edition_version,,B002I0J998,Mortal Kombat - Xbox 360,,v1|166546678736|0,Mortal Kombat vs. DC Universe (Xbox 360 2008) BRAND NEW FACTORY SEALED GREEN BOX,Brand New,Video Games; Video Games & Consoles,139973; 1249,rdb211,Xbox 360,Mortal Kombat vs. DC Universe,,,,,2008,Probable Match,Probable Match,,,item-specific Game Name or Edition conflict,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,4a70be84-8d54-4ac0-bb73-ec11525bda75,47a56243-f793-4cdc-84c3-198e748a234e,807baa99-b105-4b0e-829d-12f0e893a30b
50,d5039409-176e-4370-a1f2-55a99db97740,2026-07-31T03:09:29.115137+00:00,wrong_edition_version,,B002I0J998,Mortal Kombat - Xbox 360,,v1|178236808098|0,"Brand new, Factory Sealed XBOX 360 Mortal Kombat vs. DC Universe ",Brand New,Video Games; Video Games & Consoles,139973; 1249,statelinethrift,Xbox 360,Mortal Kombat vs. DC Universe,NTSC-U/C (US/Canada); United States,,,Multiplayer,2008,Probable Match,Probable Match,,,item-specific Game Name or Edition conflict,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,92f1e87e-64bf-47b4-8690-86a77eadd7d7,4c0708a6-d349-42a5-9561-51893af02fbd,b677991b-4c65-48c7-95e1-c960b1b8e21c
51,1f38bb66-4825-4f3e-88fa-81fd0abf6375,2026-07-31T03:09:28.702622+00:00,wrong_edition_version,,B002I0J998,Mortal Kombat - Xbox 360,,v1|117317341183|0,"Mortal Kombat vs. DC Universe (Xbox 360, 2008) Platinum Edition New Sealed READ",Brand New,Video Games; Video Games & Consoles,139973; 1249,davidsdealsresort,Xbox 360,Mortal Kombat vs. DC Universe,,,,,2008,Probable Match,Probable Match,,,item-specific Game Name or Edition conflict,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,e9eaee6a-7044-43fe-b2af-731e022a74ee,7e6fa49e-c5bf-4448-bcbe-d81af748acbe,344ca363-1c2a-4413-a0a2-0a2cb8834f22
52,76b2e8bc-41d0-4548-9066-b8a1297e4f42,2026-07-31T03:09:28.320401+00:00,wrong_edition_version,,B002I0J998,Mortal Kombat - Xbox 360,,v1|358066704167|0,Mortal Kombat Vs. DC Universe - Microsoft Xbox 360,Brand New,Video Games; Video Games & Consoles,139973; 1249,ianfreestyl1,Xbox 360,Mortal Kombat vs. DC Universe,,,,,,Probable Match,Probable Match,,,item-specific Game Name or Edition conflict,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,c3bce4f3-974d-424c-8a29-070d0d51861f,805d0dff-d609-48ff-af86-3ff2bdd62501,38f045c6-3aea-4ce7-a4e9-e6a6e16feabb
53,0649f592-9f13-4c83-a035-23232607ebed,2026-07-31T03:09:27.992848+00:00,wrong_edition_version,,B002I0J998,Mortal Kombat - Xbox 360,,v1|307069227795|0,Mortal Kombat vs. DC Universe Xbox 360 Hits NIB W/Tape Seal Brand New W/No Wrap,Brand New,Video Games; Video Games & Consoles,139973; 1249,romansfive8,Xbox 360,Mortal Kombat vs. DC Universe,NTSC-U/C (US/Canada); Mexico,,,Multiplayer,2009,Probable Match,Probable Match,,,item-specific Game Name or Edition conflict,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,0ac0e8a6-adf3-4195-9d12-d176632e5a6b,829d7b8f-5b6b-4f96-b98e-4e7c9489cce9,9972ecc5-6cc0-4d73-bce9-29d6288128b6
54,a136da88-ee67-41b2-a879-681e15cd23c6,2026-07-31T03:09:27.580742+00:00,wrong_edition_version,,B002I0J998,Mortal Kombat - Xbox 360,,v1|168545303577|0,"Mortal Kombat vs. DC Universe (Xbox 360, 2008) Platinum Edition New Sealed ",Brand New,Video Games; Video Games & Consoles,139973; 1249,minnesota.thrifter,Xbox 360,Mortal Kombat vs. DC Universe,,,,,2008,Probable Match,Probable Match,,,item-specific Game Name or Edition conflict,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,cb55720f-c2b0-4da6-90e1-bd82d151b903,86404edf-74de-49d1-af91-a696f678fc45,cd8394ae-c595-4f5e-bf77-5bc4d9386a73
55,c26fa7d8-46e5-4c67-adfd-35c62aed5d8f,2026-07-31T03:09:27.176096+00:00,wrong_edition_version,,B002I0J998,Mortal Kombat - Xbox 360,,v1|307077093879|0,Mortal Kombat vs. DC Universe - Xbox 360 - STILL SEALED!,Brand New,Video Games; Video Games & Consoles,139973; 1249,arejsco,Xbox 360,Mortal Kombat vs. DC Universe,,,,,,Probable Match,Probable Match,,,item-specific Game Name or Edition conflict,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,0367530d-18ff-4ed5-970e-ad89c9d9f888,aee4699d-71a7-4687-bdec-b1fcb3e4768b,5cf37ecb-316a-45cf-afbc-f49aabb762ba
56,f2422f95-9310-4807-a9e8-6df1018ca76f,2026-07-31T03:09:26.664386+00:00,wrong_edition_version,,B002I0J998,Mortal Kombat - Xbox 360,,v1|137069051762|0,"Mortal Kombat vs. DC Universe (Microsoft Xbox 360, 2009) New Factory Sealed",Brand New,Video Games; Video Games & Consoles,139973; 1249,pennysccc,Xbox 360,Mortal Kombat vs. DC Universe,NTSC-U/C (US/Canada); Mexico,,,,2009,Probable Match,Blocked,non-US item location,,item-specific Game Name or Edition conflict,current rule should already block,title_plus_item_specifics_or_category,d54db671-1f86-4a9c-b622-8aeb7d222003,b4850933-efeb-48b0-9635-d042cba8f3ac,4102504b-3dc5-44ac-a513-2cb6784a6f91
57,93184e6d-eb44-40af-b0b5-90fec056cb92,2026-07-31T03:09:26.083035+00:00,wrong_edition_version,,B002I0J998,Mortal Kombat - Xbox 360,,v1|146750285540|0,"Mortal Kombat vs. DC Universe (Xbox 360, 2008)",Brand New,Video Games; Video Games & Consoles,139973; 1249,septpa_0,Xbox 360,Mortal Kombat vs. DC Universe,NTSC-U/C (US/Canada); USA,,,Manual Included,2008,Probable Match,Probable Match,,,item-specific Game Name or Edition conflict,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,8895e88e-067d-4d21-9b73-bd6af28d944f,dc11840a-7f82-45ec-a432-65550fe6497e,ddef4c10-b776-4d70-8430-adb23b2a6c96
58,9d517ade-b8f1-47cf-b11b-7a1308bd4583,2026-07-31T03:08:48.766083+00:00,asin_blocked,,B002BSA1C6,Gran Turismo 5 - Playstation 3,,v1|145945981393|0,"Brand new Factory Seal Gran Turismo 5 (Sony PlayStation 3, 2010)",Brand New,Video Games; Video Games & Consoles,139973; 1249,ramon10031,PS 3,Gran Turismo 5,,,,,2010,Probable Match,Probable Match,,,asin_blocked,operator dismissal may be ambiguous or business/system,title_plus_item_specifics_or_category,e5b01bf2-2e9d-42dc-baa9-8a0e6206eea4,9e7f4385-031c-45a4-809b-4750014d3108,f1126fc4-acf9-4699-96b9-d21116033f31
59,7a3c0b88-675b-4b2c-b656-e13456778052,2026-07-31T03:08:48.364127+00:00,asin_blocked,,B002BSA1C6,Gran Turismo 5 - Playstation 3,,v1|406796082297|0,Gran Turismo 5 - Sony PlayStation 3 “Sealed”,Brand New,Video Games; Video Games & Consoles,139973; 1249,collectibles_and_more_by_efra,PS 3,Gran Turismo 5,United States,,,,,Probable Match,Probable Match,,,asin_blocked,operator dismissal may be ambiguous or business/system,title_plus_item_specifics_or_category,7c7ef33e-9fb7-4f14-a8a3-94c5e2c0c440,7b7bbd0c-921a-472b-9e94-cf6e48131a39,dac39ea6-7cf4-4986-b02a-637783706340
60,2ac9124b-2c98-4586-bbde-5b2a9f9d75ac,2026-07-31T03:08:47.797541+00:00,asin_blocked,,B002BSA1C6,Gran Turismo 5 - Playstation 3,,v1|177319371775|0,Gran Turismo 5 Prologue (PS3 Sony Playstation 3) Brand  New Factory Sealed,Brand New,Video Games; Video Games & Consoles,139973; 1249,pgou3762,PS 3,Gran Turismo 5 Prologue,NTSC-U/C (US/Canada),,,,,Probable Match,Blocked,non-US item location,,asin_blocked,operator dismissal may be ambiguous or business/system,title_plus_item_specifics_or_category,3b9c3384-e0fa-4008-8c4b-f121dcdda427,a5b4c73b-0c09-4e43-96af-392a2b4dee2e,b7adf905-690f-4cdb-8061-3e00ee4a06dc
61,5ccf217e-e7dc-4394-bd2b-077208669da2,2026-07-31T03:08:47.392569+00:00,asin_blocked,,B002BSA1C6,Gran Turismo 5 - Playstation 3,,v1|186146567523|0,"Gran Turismo 5 (Sony PlayStation 3, 2010)",Brand New,Video Games; Video Games & Consoles,139973; 1249,colefanatic,PS 3,Gran Turismo 5,,,,,,Probable Match,Blocked,non-US item location,,asin_blocked,operator dismissal may be ambiguous or business/system,title_plus_item_specifics_or_category,8db71949-0bb4-4c39-b45f-1aa3ef511e29,2e11657e-d4c4-4bee-8b80-756e02ece08f,7696563f-a253-4f93-a131-93de87aeef61
62,6fedbf70-b5d0-4600-bc12-9534816a84d0,2026-07-31T03:08:47.01324+00:00,asin_blocked,,B002BSA1C6,Gran Turismo 5 - Playstation 3,,v1|146966185160|0,Gran Turismo 5 PS3 BRAND NEW SEALED,Brand New,Video Games; Video Games & Consoles,139973; 1249,bc_797,PS 3,Gran Turismo 5,NTSC-U/C (US/Canada),,,Manual Included,2010,Probable Match,Probable Match,,,asin_blocked,operator dismissal may be ambiguous or business/system,title_plus_item_specifics_or_category,b4ef7b72-7e32-431c-a748-82a5a9b352eb,63432a39-cfcb-411c-9c0e-1f300485b627,722f5522-923d-4d58-a9a3-6d1c0d762af3
63,f6c9c240-f6f5-45d9-871d-3b8be9aecc6a,2026-07-31T03:08:46.621287+00:00,asin_blocked,,B002BSA1C6,Gran Turismo 5 - Playstation 3,,v1|396400236904|0,Gran Turismo 5: Prologue Black Label - Sony PlayStation 3 - New Sealed,Brand New,Video Games; Video Games & Consoles,139973; 1249,ke_threads,PS 3,Gran Turismo 5 Prologue,,,,,,Probable Match,Probable Match,,,asin_blocked,operator dismissal may be ambiguous or business/system,title_plus_item_specifics_or_category,1d04cb72-9fe1-44fe-8760-bc47a5ddfa83,3401388b-d47b-4c73-8c92-9c877b2739c0,1d21d23c-b783-46bc-96c0-c57dfd4fcf7b
64,a77dc7a7-4c66-411e-a05c-2f037de16567,2026-07-31T03:08:46.158691+00:00,asin_blocked,,B002BSA1C6,Gran Turismo 5 - Playstation 3,,v1|234479019481|0,"Gran Turismo 5 (Sony PlayStation 3 PS3, 2010) Complete Manual Tested CIB Mint",Brand New,Video Games; Video Games & Consoles,139973; 1249,acmurray77,PS 3,Gran Turismo 5,NTSC-U/C (US/Canada),,,Manual Included,2010,Probable Match,Probable Match,,,asin_blocked,operator dismissal may be ambiguous or business/system,title_plus_item_specifics_or_category,2e122086-a98b-424d-b8d5-a1be5a5944b4,46ad328d-0d77-464b-8c0f-c4acc0393e54,34702171-28aa-4d91-8ad6-e1b57a25f44a
65,21e042aa-b69b-4135-9c59-4d3cf40b639f,2026-07-31T03:08:45.705403+00:00,asin_blocked,,B002BSA1C6,Gran Turismo 5 - Playstation 3,,v1|284736229096|0,Gran Turismo 5 Prologue PS3 PlayStation 3 *BLACK LABEL* **BRAND NEW** *READ* LD,Brand New,Video Games; Video Games & Consoles,139973; 1249,alyona777,PS 3,Gran Turismo 5 Prologue,Region Free,,,,2008,Probable Match,Probable Match,,,asin_blocked,operator dismissal may be ambiguous or business/system,title_plus_item_specifics_or_category,d6ab758e-c9cc-4640-881a-56b4e674da17,67e241c0-ce95-4874-955c-351cbdc54128,da698d92-7451-4f36-a036-4b68e5fb9584
66,f42fccc4-764a-4ea7-a011-c91ee940ba9f,2026-07-31T03:08:45.28558+00:00,asin_blocked,,B002BSA1C6,Gran Turismo 5 - Playstation 3,,v1|305983017281|0,"SEALED Gran Turismo 5 (PlayStation 3, 2010) PS3 BRAND NEW",Brand New,Video Games; Video Games & Consoles,139973; 1249,709_games,PS 3,Gran Turismo 5,NTSC-U/C (US/Canada),,,,,Probable Match,Blocked,non-US item location,,asin_blocked,operator dismissal may be ambiguous or business/system,title_plus_item_specifics_or_category,d4fc20b9-b4ea-4b74-a4bf-24e8a77ece2c,993b8f5c-2b72-4a79-8397-439fa33e13f4,4a0f3934-1096-4240-90ea-7642c7746f75
67,8a707766-e7e9-470d-b4f1-111c53c88118,2026-07-31T03:08:44.876277+00:00,asin_blocked,,B002BSA1C6,Gran Turismo 5 - Playstation 3,,v1|277162621059|0,*FACTORY SEALED* SONY PS3 PLAYSTATION GRAN TURISMO 5 PROLOGUE,Brand New,Video Games; Video Games & Consoles,139973; 1249,soxmannh,PS 3,Gran Turismo 5 Prologue,NTSC-U/C (US/Canada); United States,,,Manual Included,2008,Probable Match,Probable Match,,,asin_blocked,operator dismissal may be ambiguous or business/system,title_plus_item_specifics_or_category,57bce5cf-8af6-4b05-9418-f4d501a0e8c7,9f0f1ae6-d05f-4317-b6dd-d55337e3e4d2,88f2e4e8-43aa-499e-b743-32c66949c2a0
68,4bbd7d38-4ea3-48cb-9416-2618b9489bbf,2026-07-31T03:08:44.446269+00:00,asin_blocked,,B002BSA1C6,Gran Turismo 5 - Playstation 3,,v1|333584136128|0,Gran Turismo 5 Prologue GH - PS3 Playstation 3 Racing Game,Brand New,Video Games; Video Games & Consoles,139973; 1249,tornado-c5,PS 3,Gran Turismo 5 Prologue,NTSC-U/C (US/Canada),,,,2007,Probable Match,Probable Match,,,asin_blocked,operator dismissal may be ambiguous or business/system,title_plus_item_specifics_or_category,089372e0-40ae-49f4-bae5-8b007415033c,1908cbce-fc2a-46f1-8221-52fd905633b6,e2e7cce5-3c15-485c-ac8e-e94d4aee47d9
69,88c3528e-9dd8-4cf8-9db2-475de401ae13,2026-07-31T03:08:43.957626+00:00,asin_blocked,,B002BSA1C6,Gran Turismo 5 - Playstation 3,,v1|398051060224|0,Gran Turismo 5 PS3 2010 - New & Sealed!,Brand New,Video Games; Video Games & Consoles,139973; 1249,bobbycor,PS 3,Gran Turismo 5,NTSC-U/C (US/Canada),,,"Multiplayer, Online Play, 3D Compatible",2010,Probable Match,Probable Match,,,asin_blocked,operator dismissal may be ambiguous or business/system,title_plus_item_specifics_or_category,4dc75eb2-06b4-490b-8fd1-3a3743f195a4,8ba2686b-7aa1-47e4-9b6b-5426cddbad49,85e321a2-75c7-40ed-a110-664b597c064a
70,a0c2c39f-4d81-4df0-a5c0-248ce3a70d5d,2026-07-31T03:08:43.523613+00:00,asin_blocked,,B002BSA1C6,Gran Turismo 5 - Playstation 3,,v1|167992427799|0,"Gran Turismo 5 (Sony PlayStation 3, 2010) - New Sealed CIB",Brand New,Video Games; Video Games & Consoles,139973; 1249,camphillplayntradestore,PS 3,Gran Turismo 5,NTSC-U/C (US/Canada),,,,2010,Probable Match,Probable Match,,,asin_blocked,operator dismissal may be ambiguous or business/system,title_plus_item_specifics_or_category,bdbd7121-4a7f-4523-ba6e-ac162454246d,b9270bfb-106b-49db-8667-abfda8a4ba7f,2abb1e79-d3ce-4a82-9fbc-c8e79c6153ae
71,d911ae7a-2d6c-48d6-ad64-083b896d7c7d,2026-07-31T03:08:43.12315+00:00,asin_blocked,,B002BSA1C6,Gran Turismo 5 - Playstation 3,,v1|353970578694|0,"Gran Turismo 5 Prologue (Sony PlayStation 3, 2007) - Brand New & Sealed",Brand New,Video Games; Video Games & Consoles,139973; 1249,samsa.games,PS 3,Gran Turismo 5 Prologue,NTSC-U/C (US/Canada),,,,2007,Probable Match,Blocked,non-US item location,,asin_blocked,operator dismissal may be ambiguous or business/system,title_plus_item_specifics_or_category,1538c6aa-cdc0-4cc6-9b93-2219bf06872f,9d96b062-4217-41cc-bb24-afd21e77838e,90288cb8-af84-457c-9a27-f13e7164f27c
